t lat lon alt heading roll pitch
0 33.9332769 -84.5389891 7.7 301.57 0 0
1 33.9332486 -84.5390383 7.7 346.29 0 0
2 33.9332348 -84.5391015 7.7 10.809 0 0
3 33.9332483 -84.5390881 7.7 324.03 0 0
4 33.9332121 -84.5391221 7.7 307.85 0 0
5 33.933174 -84.5391928 7.7 336.99 0 0
6 33.9331456 -84.539269 7.7 8.8616 0 0
7 33.9331991 -84.5393367 7.7 75.218 0 0
8 33.9332679 -84.5393208 7.7 112.62 0 0
9 33.9332993 -84.5393386 7.7 74.048 0 0
10 33.9332986 -84.5393369 7.7 54.408 0 0
11 33.9333567 -84.5393951 7.7 88.378 0 0
12 33.9334495 -84.5393578 7.7 119.05 0 0
13 33.9335249 -84.5392825 7.7 149.72 0 0
14 33.9335146 -84.5391923 7.7 183.69 0 0
15 33.9335154 -84.539194 7.7 164.05 0 0
16 33.9335195 -84.5391524 7.7 125.48 0 0
17 33.933567 -84.5390904 7.7 162.88 0 0
18 33.9335476 -84.5389999 7.7 229.24 0 0
19 33.9334789 -84.5389887 7.7 261.11 0 0
20 33.933409 -84.5389902 7.7 290.24 0 0
21 33.9333659 -84.5390094 7.7 274.07 0 0
22 33.9333825 -84.5390026 7.7 227.29 0 0
23 33.9333307 -84.5389834 7.7 251.8 0 0
