t lat lon alt heading roll pitch
1.52303e+09 33.9333077 -84.5390308 330.9 -1.2105 0.042873 -0.03076
1.523e+09 33.9333075 -84.5390308 330.8 -1.2111 0.042829 -0.03086
0.056317 33.9333073 -84.5390308 330.6 -1.2106 0.04294 -0.030934
0.65762 33.9333072 -84.5390308 330.5 -1.2105 0.042883 -0.030696
1.0584 33.9333072 -84.5390308 330.4 -1.2109 0.042754 -0.030512
1.6605 33.933307 -84.5390307 330.3 -1.2111 0.04282 -0.030736
2.0641 33.9333068 -84.5390307 330.2 -1.2104 0.042985 -0.030745
2.6641 33.9333067 -84.5390307 330.1 -1.2096 0.04299 -0.030847
3.065 33.9333067 -84.5390307 330 -1.2095 0.043061 -0.030816
3.6682 33.9333067 -84.5390305 330 -1.2096 0.04297 -0.03074
4.0659 33.9333065 -84.5390305 329.9 -1.21 0.043113 -0.030652
4.6695 33.9333065 -84.5390305 329.8 -1.2099 0.043 -0.0307
5.0697 33.9333063 -84.5390307 329.8 -1.2101 0.043079 -0.030656
5.6706 33.9333063 -84.5390305 329.8 -1.21 0.042672 -0.030583
6.072 33.9333062 -84.5390305 329.8 -1.21 0.042573 -0.0308
6.6726 33.933306 -84.5390303 329.8 -1.2098 0.042725 -0.030809
7.0725 33.9333058 -84.53903 329.8 -1.2109 0.042931 -0.030541
7.6782 33.9333055 -84.5390295 329.9 -1.2104 0.04278 -0.030664
8.0756 33.9333053 -84.5390293 329.9 -1.2108 0.042745 -0.03074
8.6771 33.9333048 -84.5390288 330 -1.2108 0.042839 -0.03078
9.0779 33.9333043 -84.5390283 330 -1.211 0.042903 -0.030689
9.6786 33.9333037 -84.5390277 330.2 -1.2112 0.042842 -0.030612
10.079 33.9333032 -84.5390272 330.2 -1.2116 0.042657 -0.030708
10.682 33.9333025 -84.5390265 330.4 -1.2116 0.042952 -0.030864
11.08 33.933302 -84.5390262 330.4 -1.2109 0.04323 -0.030606
11.681 33.9333013 -84.5390257 330.5 -1.2108 0.042959 -0.03064
12.081 33.9333007 -84.5390255 330.6 -1.2106 0.042879 -0.030744
12.682 33.9332997 -84.5390252 330.6 -1.212 0.043189 -0.030683
13.083 33.9332992 -84.539025 330.7 -1.2123 0.042816 -0.030699
13.686 33.9332987 -84.5390248 330.8 -1.2124 0.042913 -0.030957
14.087 33.9332983 -84.5390247 330.8 -1.212 0.042596 -0.03111
14.688 33.9332978 -84.5390243 331 -1.2126 0.042852 -0.030882
15.088 33.9332975 -84.5390242 331 -1.2121 0.042911 -0.030865
15.689 33.9332972 -84.5390237 331.2 -1.213 0.043056 -0.030589
16.09 33.933297 -84.5390235 331.3 -1.2126 0.043119 -0.030685
16.694 33.9332967 -84.5390232 331.5 -1.2127 0.043021 -0.030834
17.091 33.9332965 -84.5390228 331.6 -1.2128 0.043101 -0.030986
17.692 33.9332962 -84.5390223 331.8 -1.213 0.042816 -0.030654
18.097 33.9332958 -84.5390218 331.9 -1.214 0.043062 -0.030727
18.693 33.9332953 -84.5390213 332.1 -1.2124 0.043035 -0.030713
19.096 33.933295 -84.5390212 332.2 -1.2126 0.042883 -0.03075
19.694 33.9332947 -84.5390207 332.4 -1.2133 0.043303 -0.030866
20.095 33.9332943 -84.5390205 332.5 -1.2124 0.043119 -0.030665
20.697 33.9332943 -84.5390203 332.6 -1.2117 0.043048 -0.03061
21.096 33.9332943 -84.5390203 332.6 -1.2121 0.043008 -0.030646
21.699 33.9332943 -84.5390205 332.6 -1.2122 0.043056 -0.030516
22.097 33.9332943 -84.5390207 332.6 -1.2134 0.043178 -0.030715
22.698 33.9332943 -84.5390208 332.5 -1.2133 0.043334 -0.030793
