t lat lon alt heading roll pitch
0 33.7787473 -84.402474 4 252.18 0 0
1 33.7787276 -84.4024725 4 289.35 0 0
2 33.7787048 -84.4025051 4 336.17 0 0
3 33.7787001 -84.4025152 4 293.69 0 0
4 33.7786857 -84.4025231 4 295.76 0 0
5 33.7786735 -84.4025307 4 295.74 0 0
6 33.7786489 -84.4025705 4 350.73 0 0
7 33.7786532 -84.4026019 4 14.125 0 0
8 33.7786544 -84.4026051 4 348.82 0 0
9 33.7786609 -84.4026331 4 62.525 0 0
10 33.7786715 -84.4026546 4 69.2 0 0
11 33.7786972 -84.4026612 4 99.569 0 0
12 33.7786972 -84.4026612 4 72.177 0 0
13 33.7786972 -84.4026612 4 44.766 0 0
14 33.7787214 -84.4026739 4 75.154 0 0
15 33.7787404 -84.4026638 4 81.829 0 0
16 33.7787592 -84.4026456 4 155.53 0 0
17 33.7787617 -84.4026439 4 130.23 0 0
18 33.7787805 -84.4026214 4 153.62 0 0
19 33.7787797 -84.4025717 4 208.61 0 0
20 33.7787735 -84.4025571 4 208.59 0 0
21 33.7787657 -84.4025405 4 210.67 0 0
22 33.7787667 -84.402529 4 168.19 0 0
23 33.778764 -84.4024866 4 215.01 0 0
