t lat lon alt heading roll pitch
1.52286e+09 33.7787505 -84.4023408 287.9 0 0 0
1.5229e+09 33.7787508 -84.4023405 287.8 -0.59733 0.01271 -0.067806
1.5229e+09 33.7787512 -84.40234 287.8 -0.59645 0.012489 -0.067779
0.34618 33.7787515 -84.4023397 287.7 -0.59666 0.012746 -0.067893
0.93229 33.7787522 -84.4023393 287.6 -0.59606 0.012741 -0.067599
1.3327 33.7787523 -84.4023392 287.6 -0.59594 0.01268 -0.067612
1.9345 33.7787523 -84.4023392 287.5 -0.59649 0.01266 -0.067887
2.3381 33.7787527 -84.4023395 287.5 -0.59646 0.012714 -0.068037
2.9392 33.778753 -84.4023398 287.5 -0.59693 0.012798 -0.068105
3.3391 33.7787535 -84.4023402 287.5 -0.59648 0.012929 -0.067907
3.9409 33.778754 -84.4023405 287.6 -0.59636 0.01252 -0.067827
4.3423 33.7787543 -84.402341 287.6 -0.5959 0.012667 -0.068066
4.9447 33.778755 -84.4023417 287.6 -0.59586 0.012594 -0.067829
5.3446 33.7787555 -84.4023422 287.5 -0.5962 0.01283 -0.067951
5.9485 33.7787562 -84.4023425 287.5 -0.59468 0.012856 -0.067678
6.3462 33.7787567 -84.402343 287.4 -0.59592 0.01314 -0.067977
6.9475 33.7787577 -84.402344 287.3 -0.59697 0.013496 -0.070378
7.349 33.7787581 -84.4023443 287.1 -0.59604 -0.00013035 0.059931
7.9495 33.7787582 -84.4023445 287.1 -0.60217 -0.013658 -0.0049784
8.3514 33.778758 -84.4023445 287.3 -0.59656 0.0035861 -0.017863
8.9523 33.7787577 -84.4023463 287.5 -0.58964 -0.2295 -0.063712
9.3521 33.7787586 -84.4023542 287.6 -0.57517 -0.25252 -0.15553
9.9559 33.7787629 -84.4023721 288 -0.57311 -0.27543 -0.16553
10.355 33.7787675 -84.4023881 287.9 -0.70234 -0.41846 -0.048467
10.956 33.7787663 -84.402417 287.7 -0.96431 -0.4599 -0.030881
11.357 33.7787618 -84.4024345 287.2 -1.1329 0.07813 0.21745
11.958 33.7787548 -84.4024458 287.1 -1.1667 0.068107 -0.15665
12.363 33.7787524 -84.4024563 287.3 -1.1646 0.040706 -0.223
12.959 33.77875 -84.4024747 287.3 -1.325 -0.064032 -0.087297
13.359 33.7787461 -84.402487 287.2 -1.5988 -0.1323 0.0014225
13.966 33.778743 -84.4024955 287.1 -1.723 0.073741 0.37888
14.362 33.7787419 -84.4024946 287.1 -1.7482 0.11147 0.082745
14.963 33.7787412 -84.4024951 287.4 -1.7605 0.054531 0.050719
15.371 33.7787409 -84.4024945 287.4 -1.7511 0.013361 0.016508
15.97 33.7787402 -84.402493 287.5 -1.7507 0.093229 -0.036867
16.373 33.7787383 -84.4024942 287.6 -1.7365 -0.12282 -0.25245
16.974 33.7787292 -84.4025069 287.4 -1.7386 -0.057031 -0.37659
17.375 33.7787204 -84.4025215 287.3 -1.7413 -0.064085 -0.34753
17.977 33.778706 -84.4025526 287.3 -1.765 0.10081 -0.31252
18.379 33.7786993 -84.4025777 287.4 -1.7831 0.21175 -0.24831
18.978 33.7786905 -84.4026195 287.4 -1.753 0.041608 -0.20321
19.378 33.7786872 -84.4026489 287.5 -1.7696 0.30573 -0.13626
19.98 33.7786863 -84.4026883 287.5 -1.7389 -0.011275 0.37116
20.381 33.7786857 -84.4027053 287.6 -1.7563 -0.097278 0.42026
20.986 33.7786836 -84.4027188 287.1 -1.74 0.060643 0.45811
21.389 33.7786838 -84.40272 286.6 -1.7384 0.068393 0.2754
21.989 33.7786832 -84.4027204 286.2 -1.754 -0.0026915 0.075155
22.393 33.7786826 -84.4027196 287 -1.7494 0.0027391 0.094697
22.993 33.778682 -84.4027188 287.5 -1.7477 0.041864 0.038588
23.394 33.7786818 -84.4027186 287.4 -1.7478 0.022045 0.066119
23.996 33.7786815 -84.4027184 287.2 -1.7487 0.020927 0.079657
24.399 33.7786816 -84.4027181 287.1 -1.7508 0.020086 0.087528
25.002 33.7786816 -84.4027148 287.1 -1.7555 0.091401 0.22459
25.405 33.7786825 -84.4027086 287.1 -1.7598 0.048381 0.2491
26.166 33.7786854 -84.4026933 287.2 -1.7404 0.18539 0.34268
26.4 33.7786886 -84.4026795 287.1 -1.7577 0.18275 0.24352
27.002 33.7786949 -84.4026555 287 -1.7593 0.15392 0.25059
27.404 33.7787001 -84.4026389 287.1 -1.7957 0.16522 0.07695
28.006 33.7787068 -84.4026155 287.3 -1.8082 -0.0028642 0.12837
28.407 33.7787111 -84.4025995 287.6 -1.8087 0.01783 0.12074
29.006 33.7787178 -84.4025757 288.2 -1.7966 0.0815 0.18589
29.406 33.7787218 -84.40256 288.4 -1.81 0.17641 0.10406
30.01 33.7787285 -84.4025363 288.4 -1.8065 0.17464 0.16381
30.409 33.778733 -84.4025199 288.4 -1.8195 0.16342 0.13099
31.009 33.7787397 -84.4024982 288.3 -1.8374 0.11543 0.0012679
31.41 33.7787442 -84.4024853 288.6 -1.8657 0.10192 -0.17773
32.011 33.7787484 -84.4024738 288.7 -1.8491 -0.075412 -0.13364
32.413 33.7787496 -84.4024693 288.5 -1.8722 0.061529 -0.19347
33.012 33.7787499 -84.4024672 288.2 -1.884 0.10581 -0.13823
35.392 33.7787496 -84.4024648 287.7 -1.8798 0.14056 0.03129
35.418 33.7787496 -84.4024643 287.6 -1.878 0.13115 0.03866
36.021 33.7787481 -84.4024638 287.4 -1.864 0.0010635 -0.091507
36.423 33.7787452 -84.4024645 287.3 -1.8102 -0.025152 -0.13863
37.022 33.778738 -84.4024673 287.1 -1.7119 0.058276 -0.048326
37.424 33.7787335 -84.4024691 287 -1.63 0.098183 -0.0098332
