t lat lon heading alt roll pitch
0 33.7787442 -84.4024134 4 58.034 0 0
1 33.7788848 -84.4024306 4 113.88 0 0
2 33.7789684 -84.4023311 4 135 0 0
3 33.779046 -84.4023345 4 100.36 0 0
4 33.7791193 -84.4022393 4 175.76 0 0
5 33.7790905 -84.4021603 4 219.36 0 0
6 33.7791021 -84.4019478 4 213.91 0 0
7 33.7789877 -84.4018742 4 268.14 0 0
8 33.7788802 -84.4019275 4 313.58 0 0
9 33.7788091 -84.4019225 4 275.62 0 0
10 33.778729 -84.4020171 4 354.42 0 0
11 33.7787473 -84.4020959 4 4.2878 0 0
12 33.778714 -84.4021598 4 323.58 0 0
