Thing,180.2580874,1.17E-09,-0.0135,-2.997,Geotag Lat,Geotag Long,Inspection,Overall Pass/Fail
3.262562068,221.1413197,37.17092349,-2.1465,-2.457,33.932864 N,84.539281 W,No damage,No damage
3.820881606,288.114864,83.99099404,-3.6315,1.188,33.932889 N,84.539294 W,No damage,No damage
4.452565244,300.2189236,41.51067509,-3.8475,2.241,33.932894 N,84.539303 W,No damage,No damage
6.181717662,303.6900675,43.58557679,-5.1435,3.429,33.932914 N,84.539331 W,No damage,No damage
7.685247768,305.9237779,43.56790382,-6.2235,4.509,33.932936 N,84.539328 W,No damage,No damage
11.74094154,318.9628142,98.55555824,-7.7085,8.856,33.932936 N,84.539331 W,No damage,No damage
13.11892325,331.0083897,121.9482349,-6.3585,11.475,33.932953 N,84.539319 W,No damage,No damage
13.2303375,332.3367617,96.64652088,-6.1425,11.718,33.932953 N,84.539272 W,No damage,No damage
14.7155016,341.5484293,170.3478196,-4.6575,13.959,33.932953 N,84.539267 W,No damage,No damage
15.77244351,349.2959933,177.0233851,-2.9295,15.498,33.932961 N,84.539244 W,No damage,No damage
15.20100599,359.9491157,207.3923696,-0.0135,15.201,33.932967 N,84.539228 W,No damage,No damage
15.20100599,359.9491157,180,-0.0135,15.201,33.932964 N,84.539183 W,No damage,No damage
15.20100599,359.9491157,152.5892782,-0.0135,15.201,33.932947 N,84.539161 W,No damage,No damage
15.76745098,10.60760125,182.9766149,2.9025,15.498,33.932928 N,84.539139 W,No damage,No damage
14.70697832,18.351791,189.6521804,4.6305,13.959,33.932911 N,84.539131 W,No damage,No damage
13.21782373,27.55957879,263.3534791,6.1155,11.718,33.932886 N,84.539147 W,No damage,No damage
13.10585813,28.88836368,238.0517651,6.3315,11.475,33.932883 N,84.539147 W,No damage,No damage
11.72323241,40.93765122,261.4444418,7.6815,8.856,33.932861 N,84.539153 W,No damage,No damage
7.663399588,53.95778507,316.4320962,6.1965,4.509,33.932850 N,84.539169 W,No damage,No damage
6.159270513,56.1706117,316.4144232,5.1165,3.429,33.932842 N,84.539206 W,No damage,No damage
4.429255158,59.60528896,318.4893249,3.8205,2.241,33.932839 N,84.539242 W,No damage,No damage
