5.9304,183.37,2.5261,-0.34825,-5.9202,Geotag Lat,Geotag Long,Inspection,Overall Pass/Fail
6.3507,236.75,47.246,-5.3107,-3.4825,33.933275 N,84.538986 W,No Damage,No Damage
9.5295,275.24,71.761,-9.4897,0.87061,33.933247 N,84.539044 W,No Damage,No Damage
7.5923,273.95,24.981,-7.5743,0.52237,33.933233 N,84.539100 W,No Damage,No Damage
12.691,275.91,8.8068,-12.624,1.3059,33.933244 N,84.539086 W,No Damage,No Damage
20.123,284.28,37.942,-19.502,4.9625,33.933206 N,84.539128 W,No Damage,No Damage
27.411,290.45,69.814,-25.683,9.5768,33.933169 N,84.539197 W,No Damage,No Damage
29.567,307.34,136.17,-23.507,17.935,33.933147 N,84.539272 W,No Damage,No Damage
25.97,321.67,173.57,-16.106,20.372,33.933203 N,84.539339 W,No Damage,No Damage
27.28,329.51,135,-13.843,23.507,33.933272 N,84.539322 W,No Damage,No Damage
27.13,329.32,115.36,-13.843,23.332,33.933300 N,84.539336 W,No Damage,No Damage
32.985,340.9,149.33,-10.796,31.168,33.933303 N,84.539339 W,No Damage,No Damage
33.171,359.85,180,-0.087061,33.17,33.933361 N,84.539400 W,No Damage,No Damage
32.928,18.818,210.67,10.621,31.168,33.933456 N,84.539356 W,No Damage,No Damage
27.041,30.363,244.64,13.669,23.332,33.933528 N,84.539281 W,No Damage,No Damage
27.192,30.177,225,13.669,23.507,33.933514 N,84.539192 W,No Damage,No Damage
25.863,38.027,186.43,15.932,20.372,33.933514 N,84.539189 W,No Damage,No Damage
29.429,52.452,223.83,23.332,17.935,33.933522 N,84.539150 W,No Damage,No Damage
27.247,69.423,290.19,25.509,9.5768,33.933567 N,84.539092 W,No Damage,No Damage
19.955,75.6,322.06,19.328,4.9625,33.933547 N,84.539003 W,No Damage,No Damage
12.518,84.012,351.19,12.45,1.3059,33.933481 N,84.538992 W,No Damage,No Damage
7.4186,85.962,335.02,7.4002,0.52237,33.933414 N,84.538997 W,No Damage,No Damage
9.3562,84.661,288.24,9.3156,0.87061,33.933369 N,84.539008 W,No Damage,No Damage
6.2058,124.14,312.75,5.1366,-3.4825,33.933386 N,84.538997 W,No Damage,No Damage
