thing,thing,thing,thing,thing,Geotag Lat,Geotag Long,Inspection,Overall Pass/Fail
5.9304,183.37,2.5261,-0.34825,-5.9202,33.933259 N,84.538977 W,No Damage,Damage Detected!
6.3507,236.75,47.246,-5.3107,-3.4825,33.933225 N,84.539038 W,No Damage,Damage Detected!
9.5295,275.24,71.761,-9.4897,0.87061,33.933215 N,84.539099 W,No Damage,Damage Detected!
7.5923,273.95,24.981,-7.5743,0.52237,33.933227 N,84.539079 W,No Damage,Damage Detected!
12.691,275.91,8.8068,-12.624,1.3059,33.933191 N,84.539118 W,No Damage,Damage Detected!
20.123,284.28,37.942,-19.502,4.9625,33.933152 N,84.539190 W,No Damage,Damage Detected!
27.411,290.45,69.814,-25.683,9.5768,33.933126 N,84.539267 W,No Damage,Damage Detected!
29.567,307.34,136.17,-23.507,17.935,33.933183 N,84.539333 W,No Damage,Damage Detected!
25.97,321.67,173.57,-16.106,20.372,33.933253 N,84.539316 W,No Damage,Damage Detected!
27.28,329.51,135,-13.843,23.507,33.933282 N,84.539330 W,No Damage,Damage Detected!
27.13,329.32,115.36,-13.843,23.332,33.933282 N,84.539332 W,No Damage,Damage Detected!
32.985,340.9,149.33,-10.796,31.168,33.933339 N,84.539392 W,No Damage,Damage Detected!
33.171,359.85,180,-0.087061,33.17,33.933433 N,84.539350 W,No Damage,Damage Detected!
32.928,18.818,210.67,10.621,31.168,33.933511 N,84.539272 W,No Damage,Damage Detected!
27.041,30.363,244.64,13.669,23.332,33.933495 N,84.539184 W,No Damage,Damage Detected!
27.192,30.177,225,13.669,23.507,33.933496 N,84.539183 W,Damage Detected!,Damage Detected!
25.863,38.027,186.43,15.932,20.372,33.933500 N,84.539144 W,Damage Detected!,Damage Detected!
29.429,52.452,223.83,23.332,17.935,33.933548 N,84.539075 W,Damage Detected!,Damage Detected!
27.247,69.423,290.19,25.509,9.5768,33.933527 N,84.538987 W,No Damage,Damage Detected!
19.955,75.6,322.06,19.328,4.9625,33.933459 N,84.538981 W,Damage Detected!,Damage Detected!
12.518,84.012,351.19,12.45,1.3059,33.933385 N,84.538979 W,No Damage,Damage Detected!
7.4186,85.962,335.02,7.4002,0.52237,33.933349 N,84.539001 W,No Damage,Damage Detected!
9.3562,84.661,288.24,9.3156,0.87061,33.933363 N,84.538992 W,No Damage,Damage Detected!
6.2058,124.14,312.75,5.1366,-3.4825,33.933363 N,84.538992 W,No Damage,Damage Detected!
6.2058,124.14,312.75,5.1366,-3.4825,33.933363 N,84.538992 W,No Damage,Damage Detected!
